Position;PositionIdx;Indices;Frame;Idx;Time;raw_intensity;Area;SNR;SpineWidth;SpineLength
Im002;0;0-160;0;160;0.00000;335.14516;3.54355;82.89052;0.95829;3.32841
Im002;0;0-161;0;161;0.00000;362.93469;2.80055;110.68006;0.89658;2.63369
Im002;0;0-162;0;162;0.00000;450.47143;4.00079;198.21679;1.00567;3.52275
Im002;0;0-163;0;163;0.00000;374.60256;1.78321;122.34793;0.88206;1.72543
Im002;0;0-164;0;164;0.00000;359.32861;4.03508;107.07398;0.94400;3.80965
Im002;0;0-165;0;165;0.00000;346.92208;1.76035;94.66744;0.82333;1.80756
Im002;0;0-166;0;166;0.00000;417.33200;2.85770;165.07736;0.92109;2.69626
Im002;0;0-167;0;167;0.00000;289.15341;2.01182;36.89877;0.91332;1.90119
Im002;0;0-168;0;168;0.00000;433.40146;3.13204;181.14682;1.03946;2.84093
Im002;0;0-169;0;169;0.00000;359.49650;3.26921;107.24187;0.92299;3.24554
Im002;0;0-170;0;170;0.00000;465.20866;2.90343;212.95402;0.92986;2.77630
Im002;0;0-171;0;171;0.00000;377.34868;1.73748;125.09405;0.79121;1.85938
Im002;0;0-172;0;172;0.00000;342.65203;3.38352;90.39739;0.93201;3.22979
Im002;0;0-173;0;173;0.00000;347.41333;2.57193;95.15870;0.97209;2.40388
Im002;0;0-174;0;174;0.00000;403.63200;2.85770;151.37736;1.04228;2.53736
Im002;0;0-175;0;175;0.00000;380.90875;3.00630;128.65411;0.94969;2.90146
Im002;0;0-176;0;176;0.00000;439.74057;2.42333;187.48593;0.85135;2.40164
Im002;0;0-177;0;177;0.00000;451.13445;2.72053;198.87982;0.98959;2.44737
Im002;0;0-178;0;178;0.00000;363.40000;3.48640;111.14536;0.97710;3.18791
Im002;0;0-179;0;179;0.00000;405.00386;2.96058;152.74922;0.97303;2.79852
Im002;0;0-180;0;180;0.00000;341.47343;2.36618;89.21879;0.92096;2.34292
Im002;0;0-181;0;181;0.00000;410.36929;2.75483;158.11466;0.91800;2.54386
Im002;0;0-182;0;182;0.00000;411.99200;2.85770;159.73736;0.95469;2.54357
Im002;0;0-183;0;183;0.00000;450.50172;3.32637;198.24708;0.99588;2.81385
Im002;0;0-184;0;184;0.00000;385.85470;4.01222;133.60006;0.91058;3.91710
Im002;0;0-185;0;185;0.00000;310.19753;1.85179;57.94289;0.95285;1.67975
Im002;0;0-186;0;186;0.00000;399.50847;2.69767;147.25384;1.03419;2.39241
Im002;0;0-187;0;187;0.00000;373.59238;3.89791;121.33774;1.02251;3.39315
Im002;0;0-188;0;188;0.00000;306.11429;2.00039;53.85965;0.85214;2.01922
Im002;0;0-189;0;189;0.00000;368.56962;2.70910;116.31498;0.98078;2.50133
Im002;0;0-190;0;190;0.00000;337.09459;3.38352;84.83996;0.92161;3.28337
Im002;0;0-191;0;191;0.00000;378.40166;4.12652;126.14703;1.03861;3.59663
Im002;0;0-192;0;192;0.00000;390.46809;2.68624;138.21345;0.97796;2.42636
Im002;0;0-193;0;193;0.00000;367.44583;2.74340;115.19120;0.86807;2.68483
Im002;0;0-194;0;194;0.00000;305.70000;3.54355;53.44536;0.95155;3.38135
Im002;0;0-195;0;195;0.00000;382.32418;2.08041;130.06954;0.89737;2.03744
Im002;0;0-196;0;196;0.00000;326.72396;2.19472;74.46932;0.91859;2.11277
Im002;0;0-197;0;197;0.00000;306.97183;3.24635;54.71719;0.89315;3.25305
Im002;0;0-198;0;198;0.00000;463.74349;3.07489;211.48886;1.05993;2.55374
Im002;0;0-199;0;199;0.00000;328.86859;3.56641;76.61395;0.93171;3.30470
Im002;0;0-200;0;200;0.00000;365.13740;2.99487;112.88277;0.82920;3.12647
Im002;0;0-201;0;201;0.00000;349.66502;2.32046;97.41039;0.84593;2.34033
Im002;0;0-202;0;202;0.00000;364.69271;2.19472;112.43807;1.04582;1.92576
Im002;0;0-203;0;203;0.00000;481.02703;2.53764;228.77239;0.80642;2.72169
Im002;0;0-204;0;204;0.00000;334.50265;2.16042;82.24801;1.00187;1.93231
Im002;0;0-205;0;205;0.00000;386.79724;4.96097;134.54260;0.98322;4.42430
Im002;0;0-206;0;206;0.00000;331.06569;3.13204;78.81106;0.89688;3.05598
Im002;0;0-207;0;207;0.00000;469.75229;2.49192;217.49766;0.89627;2.55150
Im002;0;0-208;0;208;0.00000;376.28920;3.28064;124.03456;0.91934;3.21192
Im002;0;0-209;0;209;0.00000;310.67227;2.72053;58.41763;0.88572;2.69607
Im002;0;0-210;0;210;0.00000;325.76400;2.85770;73.50936;0.99833;2.49153
Im002;0;0-211;0;211;0.00000;386.29481;4.84667;134.04017;0.99685;4.38453
Im002;0;0-212;0;212;0.00000;434.28800;2.85770;182.03336;1.00377;2.58015
Im002;0;0-213;0;213;0.00000;360.83200;2.85770;108.57736;1.01276;2.54727
Im002;0;0-214;0;214;0.00000;296.73043;3.94363;44.47580;0.98976;3.51811
Im002;0;0-215;0;215;0.00000;340.29377;3.85219;88.03913;1.01935;3.25747
Im002;0;0-216;0;216;0.00000;369.34868;1.73748;117.09405;0.86128;1.72108
Im002;0;0-217;0;217;0.00000;324.16116;2.76626;71.90652;0.98555;2.55818
Im002;0;0-218;0;218;0.00000;442.36704;3.05203;190.11240;0.94594;2.89178
Im002;0;0-219;0;219;0.00000;375.63343;3.89791;123.37879;1.02324;3.55732
Im002;0;0-220;0;220;0.00000;448.92222;2.05755;196.66759;0.88334;1.99358
Im002;0;0-221;0;221;0.00000;364.21101;2.49192;111.95637;1.02502;2.23736
Im002;0;0-222;0;222;0.00000;362.86056;2.86913;110.60592;1.02331;2.57138
Im002;0;0-223;0;223;0.00000;973.56250;2.37761;721.30786;0.84055;2.47768
Im002;0;0-224;0;224;0.00000;907.05464;2.09184;654.80001;0.93672;1.86761
Im002;0;0-225;0;225;0.00000;337.60802;3.70358;85.35339;0.88322;3.66587
Im002;0;0-226;0;226;0.00000;276.53889;2.05755;24.28425;0.94573;1.93006
Im002;0;0-227;0;227;0.00000;443.48341;2.41190;191.22878;0.96489;2.19586
Im002;0;0-228;0;228;0.00000;454.78173;2.25187;202.52709;0.86889;2.21570
Im002;0;0-229;0;229;0.00000;282.47668;2.20615;30.22205;0.92484;2.11709
Im002;0;0-230;0;230;0.00000;339.54124;2.21758;87.28660;0.92667;2.14740
Im002;0;0-231;0;231;0.00000;925.17073;2.34332;672.91609;0.97905;2.08164
Im002;0;0-232;0;232;0.00000;387.80788;2.32046;135.55324;0.88359;2.27072
Im002;0;0-233;0;233;0.00000;421.35874;2.54907;169.10411;1.06823;2.20126
Im002;0;0-234;0;234;0.00000;335.80519;1.76035;83.55056;0.85424;1.74744
Im002;0;0-235;0;235;0.00000;407.58228;2.70910;155.32764;0.94711;2.59068
Im002;0;0-236;0;236;0.00000;350.63291;2.70910;98.37827;0.92425;2.59418
Im002;0;0-237;0;237;0.00000;307.58586;3.39495;55.33122;0.77049;3.68080
Im002;0;0-238;0;238;0.00000;330.95781;2.70910;78.70317;0.92872;2.63859
Im002;0;0-239;0;239;0.00000;333.49708;1.95467;81.24244;0.88650;1.90373
Im002;0;0-240;0;240;0.00000;412.00948;2.41190;159.75484;1.00617;2.15323
Im002;0;0-241;0;241;0.00000;336.50000;1.48601;84.24536;0.76953;1.60124
Im002;0;0-242;0;242;0.00000;323.76471;1.94324;71.51007;0.90249;1.84136
Im002;0;0-243;0;243;0.00000;357.04523;2.27473;104.79059;0.96236;2.13285
Im002;0;0-244;0;244;0.00000;325.07836;3.06346;72.82372;0.91150;3.11377
Im002;0;0-245;0;245;0.00000;300.60989;2.08041;48.35525;0.91679;1.94711
Im002;0;0-246;0;246;0.00000;295.44022;2.10327;43.18558;0.93860;2.00813
Im002;0;0-247;0;247;0.00000;351.57516;1.74891;99.32053;0.84359;1.74963
Im002;0;0-248;0;248;0.00000;366.94715;2.81198;114.69252;1.01998;2.49798
Im002;0;0-249;0;249;0.00000;273.72103;2.66338;21.46639;0.98382;2.51779
Im002;0;0-250;0;250;0.00000;311.85484;2.12613;59.60020;0.90988;2.05148
Im002;0;0-251;0;251;0.00000;327.83234;1.90895;75.57770;0.92625;1.81062
Im002;0;0-252;0;252;0.00000;334.35197;3.47497;82.09734;0.91797;3.37448
Im002;0;0-253;0;253;0.00000;336.56993;3.26921;84.31529;0.94312;3.08262
Im002;0;0-254;0;254;0.00000;357.57143;2.16042;105.31679;0.94082;2.00779
Im002;0;0-255;0;255;0.00000;279.64069;2.64052;27.38606;0.92531;2.57854
Im002;0;0-256;0;256;0.00000;395.85882;1.94324;143.60419;0.89132;1.86928
Im002;0;0-257;0;257;0.00000;363.56649;4.29799;111.31185;0.84846;4.28837
Im002;0;0-258;0;258;0.00000;315.24625;3.80646;62.99161;0.84726;3.98458
Im002;0;0-259;0;259;0.00000;291.54887;3.04060;39.29424;0.94289;2.87533
Im002;0;0-260;0;260;0.00000;444.72376;2.06898;192.46912;0.94608;1.93233
Im002;0;0-261;0;261;0.00000;314.48980;3.92077;62.23516;0.91656;3.74427
Im002;0;0-262;0;262;0.00000;395.35714;1.60031;143.10251;0.84310;1.59719
Im002;0;0-263;0;263;0.00000;463.39896;2.20615;211.14433;0.92182;2.15910
Im002;0;0-264;0;264;0.00000;300.14839;1.77178;47.89375;0.76430;1.89853
Im002;0;0-265;0;265;0.00000;273.71282;2.22901;21.45818;0.88731;2.18796
Im002;0;0-266;0;266;0.00000;1.22672e+03;3.81789;974.46692;0.93521;3.60887
Im002;0;0-267;0;267;0.00000;395.18750;2.37761;142.93286;0.95473;2.19259
Im002;0;0-268;0;268;0.00000;420.51515;2.64052;168.26051;0.93031;2.49919
Im002;0;0-269;0;269;0.00000;433.39869;1.74891;181.14406;0.87177;1.71737
Im002;0;0-270;0;270;0.00000;351.26599;3.39495;99.01136;0.88330;3.35048
Im002;0;0-271;0;271;0.00000;719.05455;2.51478;466.79991;0.91106;2.43302
Im002;0;0-272;0;272;0.00000;262.57500;2.28616;10.32036;0.89360;2.20086
Im002;0;0-273;0;273;0.00000;345.67235;3.34923;93.41772;0.97277;3.13201
Im002;0;0-274;0;274;0.00000;353.88281;2.92629;101.62818;0.84487;3.03887
Im002;0;0-275;0;275;0.00000;307.42941;1.94324;55.17477;0.84951;1.95618
Im002;0;0-276;0;276;0.00000;319.19925;3.04060;66.94461;0.81699;3.20495
Im002;0;0-277;0;277;0.00000;369.08205;4.45802;116.82741;0.93473;4.16453
Im002;0;0-278;0;278;0.00000;398.56164;2.50335;146.30701;0.91162;2.44154
Im002;0;0-279;0;279;0.00000;300.81737;3.81789;48.56273;0.96080;3.60188
Im002;0;0-280;0;280;0.00000;353.64226;5.46393;101.38762;0.93361;5.13238
Im002;0;0-281;0;281;0.00000;412.46441;3.37209;160.20977;0.93750;3.23609
Im002;0;0-282;0;282;0.00000;448.17937;2.54907;195.92474;0.95320;2.39684
Im002;0;0-283;0;283;0.00000;299.72289;2.84627;47.46825;0.81611;2.92167
Im002;0;0-284;0;284;0.00000;287.34000;2.28616;35.08536;0.85668;2.28106
Im002;0;0-285;0;285;0.00000;336.07973;3.44068;83.82510;0.86883;3.34699
Im002;0;0-286;0;286;0.00000;386.65104;2.19472;134.39640;0.96102;2.04476
Im002;0;0-287;0;287;0.00000;307.29014;4.05794;55.03550;0.85391;4.11980
Im002;0;0-288;0;288;0.00000;369.98165;2.49192;117.72701;0.90661;2.39304
Im002;0;0-289;0;289;0.00000;266.80423;2.16042;14.54960;0.86675;2.19922
Im002;0;0-290;0;290;0.00000;354.85597;2.77769;102.60133;0.99724;2.60370
Im002;0;0-291;0;291;0.00000;293.08202;3.62357;40.82738;0.88810;3.60987
Im002;0;0-292;0;292;0.00000;347.29680;2.50335;95.04217;0.92026;2.43578
Im002;0;0-293;0;293;0.00000;321.79058;2.18329;69.53594;0.93106;2.03510
Im002;0;0-294;0;294;0.00000;357.13900;2.96058;104.88436;0.95954;2.76126
Im002;0;0-295;0;295;0.00000;321.10332;3.09775;68.84868;0.93364;3.04650
Im002;0;0-296;0;296;0.00000;363.63173;4.03508;111.37709;0.91349;3.92240
Im002;0;0-297;0;297;0.00000;297.82158;2.75483;45.56694;0.87031;2.70585
Im002;0;0-298;0;298;0.00000;299.70164;3.48640;47.44700;0.94973;3.30499
Im002;0;0-299;0;299;0.00000;326.03797;1.80607;73.78334;0.91557;1.70949
Im002;0;0-300;0;300;0.00000;269.57222;2.05755;17.31759;0.86233;2.03264
Im002;0;0-301;0;301;0.00000;300.10879;2.73197;47.85415;0.93326;2.65773
Im003;1;0-0;0;0;0.00000;335.58779;4.49231;76.79127;0.98958;4.04555
Im003;1;0-1;0;1;0.00000;338.68151;3.33780;79.88499;0.91086;3.30361
Im003;1;0-2;0;2;0.00000;336.17391;3.41781;77.37740;0.99318;3.11952
Im003;1;0-3;0;3;0.00000;367.01359;4.20654;108.21707;0.96381;3.87358
Im003;1;0-4;0;4;0.00000;375.02174;3.68072;116.22522;0.94872;3.39319
Im003;1;0-5;0;5;0.00000;314.19048;3.36066;55.39396;0.94440;3.21696
Im003;1;0-6;0;6;0.00000;323.86121;3.21206;65.06470;0.91736;3.10123
Im003;1;0-7;0;7;0.00000;330.34615;2.67481;71.54964;0.99625;2.44237
Im003;1;0-8;0;8;0.00000;337.09848;4.52660;78.30197;0.96628;4.21653
Im003;1;0-9;0;9;0.00000;319.38428;2.61766;60.58777;1.02417;2.26010
Im003;1;0-10;0;10;0.00000;322.09742;3.98935;63.30091;0.93217;3.75816
Im003;1;0-11;0;11;0.00000;313.73068;4.88096;54.93416;1.01762;4.28758
