Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;6-1;6;1;12.00000;2.86587e+03;4.01222;495.00721;0;0.86280;4.13544;B;NA;NA
Im001;0;6-2;6;2;12.00000;2.78155e+03;2.40047;410.68303;0;0.82648;2.51244;C;NA;NA
Im001;0;6-3;6;3;12.00000;2.82646e+03;2.22901;455.59695;0;0.88800;2.23757;D;NA;NA
Im001;0;6-4;6;4;12.00000;3.13167e+03;2.43476;760.80677;0;0.90637;2.43851;E;NA;NA
Im001;0;6-5;6;5;12.00000;3.32543e+03;4.13796;954.56635;0;0.76952;4.74593;F;NA;NA
Im001;0;6-6;6;6;12.00000;2.94199e+03;4.49231;571.12269;0;0.80659;4.83765;G;NA;NA
Im001;0;6-7;6;7;12.00000;2.93687e+03;3.97792;566.00323;0;0.83972;4.15087;I;NA;NA
Im001;0;6-8;6;8;12.00000;3.25275e+03;2.90343;881.88738;0;0.80686;3.15200;J;NA;NA
Im001;0;6-9;6;9;12.00000;3.32006e+03;2.85770;949.19541;0;0.77980;3.17403;K;NA;NA
Im001;0;6-10;6;10;12.00000;3.46261e+03;3.33780;1.09174e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;6-11;6;11;12.00000;2.77759e+03;2.38904;406.72871;0;0.76419;2.71759;M;NA;NA
Im001;0;6-12;6;12;12.00000;3.05124e+03;2.58336;680.37878;0;0.73424;3.00279;N;NA;NA
Im001;0;6-13;6;13;12.00000;3.05198e+03;3.06346;681.11302;0;0.79195;3.35598;O;NA;NA
Im001;0;6-14;6;14;12.00000;2.95356e+03;2.67481;582.69951;0;0.89726;2.59646;P;NA;NA
Im001;0;6-15;6;15;12.00000;3.00606e+03;3.72645;635.19063;0;0.79127;4.10897;Q;NA;NA
Im001;0;6-16;6;16;12.00000;2.67613e+03;4.06937;305.27024;1;0.84453;4.23075;R;NA;NA
Im001;0;6-17;6;17;12.00000;2.86530e+03;2.32046;494.43590;0;0.78143;2.52144;S;NA;NA
Im001;0;6-18;6;18;12.00000;2.45912e+03;2.88057;88.25843;0;0.87602;2.94227;U;NA;NA
Im001;0;6-19;6;19;12.00000;3.06137e+03;3.25778;690.50383;0;0.76255;3.67381;V;NA;NA
Im001;0;6-20;6;20;12.00000;2.89013e+03;2.45763;519.26564;0;0.80069;2.73223;W;NA;NA
Im001;0;7-0;7;0;14.00000;2.79167e+03;2.30902;403.69038;0;0.87999;2.35322;A;NA;NA
Im001;0;7-1;7;1;14.00000;2.90874e+03;4.01222;520.76070;0;0.86280;4.13544;B;NA;NA
Im001;0;7-2;7;2;14.00000;3.00996e+03;2.40047;621.97426;0;0.82648;2.51244;C;NA;NA
Im001;0;7-3;7;3;14.00000;2.69917e+03;2.22901;311.18634;0;0.88800;2.23757;D;NA;NA
Im001;0;7-4;7;4;14.00000;3.11028e+03;2.43476;722.29411;0;0.90637;2.43851;E;NA;NA
Im001;0;7-5;7;5;14.00000;3.29362e+03;4.13796;905.64142;0;0.76952;4.74593;F;NA;NA
Im001;0;7-6;7;6;14.00000;2.94199e+03;4.49231;554.00948;0;0.80659;4.83765;G;NA;NA
Im001;0;7-7;7;7;14.00000;2.93457e+03;3.97792;546.59183;0;0.83972;4.15087;I;NA;NA
Im001;0;7-8;7;8;14.00000;3.25128e+03;2.90343;863.29270;0;0.80686;3.15200;J;NA;NA
Im001;0;7-9;7;9;14.00000;3.36544e+03;2.85770;977.45311;0;0.77980;3.17403;K;NA;NA
Im001;0;7-10;7;10;14.00000;3.46654e+03;3.33780;1.07856e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;7-11;7;11;14.00000;2.81227e+03;2.38904;424.28506;0;0.76419;2.71759;M;NA;NA
Im001;0;7-12;7;12;14.00000;2.96459e+03;2.58336;576.61003;0;0.73424;3.00279;N;NA;NA
Im001;0;7-13;7;13;14.00000;3.08517e+03;3.06346;697.18502;0;0.79195;3.35598;O;NA;NA
Im001;0;7-14;7;14;14.00000;2.92620e+03;2.67481;538.21797;0;0.89726;2.59646;P;NA;NA
Im001;0;7-15;7;15;14.00000;2.97513e+03;3.72645;587.14595;0;0.79127;4.10897;Q;NA;NA
Im001;0;7-16;7;16;14.00000;2.65246e+03;4.06937;264.47217;0;0.84453;4.23075;R;NA;NA
Im001;0;7-17;7;17;14.00000;2.90000e+03;2.32046;512.02204;0;0.78143;2.52144;S;NA;NA
Im001;0;7-18;7;18;14.00000;2.48904e+03;2.88057;101.05283;0;0.87602;2.94227;U;NA;NA
Im001;0;7-19;7;19;14.00000;3.06096e+03;3.25778;672.97852;0;0.76255;3.67381;V;NA;NA
Im001;0;7-20;7;20;14.00000;2.85208e+03;2.45763;464.10083;0;0.80069;2.73223;W;NA;NA
Im001;0;8-0;8;0;16.00000;2.75770e+03;2.30902;383.71584;0;0.87999;2.35322;A;NA;NA
Im001;0;8-1;8;1;16.00000;2.86788e+03;4.01222;493.89817;1;0.86280;4.13544;B;NA;NA
Im001;0;8-2;8;2;16.00000;2.79284e+03;2.40047;418.85592;0;0.82648;2.51244;C;NA;NA
Im001;0;8-3;8;3;16.00000;2.80709e+03;2.22901;433.11013;0;0.88800;2.23757;D;NA;NA
Im001;0;8-4;8;4;16.00000;3.09486e+03;2.43476;720.88167;0;0.90637;2.43851;E;NA;NA
Im001;0;8-5;8;5;16.00000;3.23003e+03;4.13796;856.04545;0;0.76952;4.74593;F;NA;NA
Im001;0;8-6;8;6;16.00000;2.87117e+03;4.49231;497.18576;0;0.80659;4.83765;G;NA;NA
Im001;0;8-7;8;7;16.00000;2.87343e+03;3.97792;499.44598;0;0.83972;4.15087;I;NA;NA
Im001;0;8-8;8;8;16.00000;3.21941e+03;2.90343;845.43121;0;0.80686;3.15200;J;NA;NA
Im001;0;8-9;8;9;16.00000;3.29764e+03;2.85770;923.66182;0;0.77980;3.17403;K;NA;NA
Im001;0;8-10;8;10;16.00000;3.36068e+03;3.33780;986.69933;0;0.77882;3.67369;L;NA;NA
Im001;0;8-11;8;11;16.00000;2.72622e+03;2.38904;352.23313;0;0.76419;2.71759;M;NA;NA
Im001;0;8-12;8;12;16.00000;2.99787e+03;2.58336;623.88508;1;0.73424;3.00279;N;NA;NA
Im001;0;8-13;8;13;16.00000;3.10395e+03;3.06346;729.96558;0;0.79195;3.35598;O;NA;NA
Im001;0;8-14;8;14;16.00000;2.87626e+03;2.67481;502.27851;0;0.89726;2.59646;P;NA;NA
Im001;0;8-15;8;15;16.00000;3.01690e+03;3.72645;642.91660;0;0.79127;4.10897;Q;NA;NA
Im001;0;8-16;8;16;16.00000;2.63808e+03;4.06937;264.09367;0;0.84453;4.23075;R;NA;NA
Im001;0;8-17;8;17;16.00000;2.89249e+03;2.32046;518.51043;0;0.78143;2.52144;S;NA;NA
Im001;0;8-18;8;18;16.00000;2.47641e+03;2.88057;102.42655;0;0.87602;2.94227;U;NA;NA
Im001;0;8-19;8;19;16.00000;3.04029e+03;3.25778;666.30905;0;0.76255;3.67381;V;NA;NA
Im001;0;8-20;8;20;16.00000;2.87958e+03;2.45763;505.59922;0;0.80069;2.73223;W;NA;NA
Im001;0;9-0;9;0;18.00000;2.77733e+03;2.30902;393.66239;0;0.87999;2.35322;A;NA;NA
Im001;0;9-1;9;1;18.00000;2.86565e+03;4.01222;481.98808;0;0.86280;4.13544;B;NA;NA
Im001;0;9-2;9;2;18.00000;2.83542e+03;2.40047;451.75471;1;0.82648;2.51244;C;NA;NA
Im001;0;9-3;9;3;18.00000;2.80659e+03;2.22901;422.93053;0;0.88800;2.23757;D;NA;NA
Im001;0;9-4;9;4;18.00000;3.07734e+03;2.43476;693.67369;0;0.90637;2.43851;E;NA;NA
Im001;0;9-5;9;5;18.00000;3.18775e+03;4.13796;804.08428;0;0.76952;4.74593;F;NA;NA
Im001;0;9-6;9;6;18.00000;2.84347e+03;4.49231;459.80385;0;0.80659;4.83765;G;NA;NA
Im001;0;9-7;9;7;18.00000;2.84336e+03;3.97792;459.69486;0;0.83972;4.15087;I;NA;NA
